year,month,day,hour,trips,day_of_week,event_of_day
2016,8,6,19,56,7, 
2016,8,6,20,64,7, 
2016,8,6,21,26,7, 
2016,8,6,22,19,7, 
2016,8,6,23,31,7, 
2016,8,6,24,10,7, 
2016,8,7,0,867,1, 
2016,8,7,1,8,1, 
2016,8,7,2,10,1, 
2016,8,7,3,2,1, 
2016,8,7,4,4,1, 
2016,8,7,5,4,1, 
2016,8,7,6,1,1, 
2016,8,7,7,4,1, 
2016,8,7,8,6,1, 
2016,8,7,9,19,1, 
2016,8,7,10,33,1, 
2016,8,7,11,50,1, 
2016,8,7,12,63,1, 
2016,8,7,13,73,1, 
2016,8,7,14,88,1, 
2016,8,7,15,85,1, 
2016,8,7,16,63,1, 
2016,8,7,17,67,1, 
2016,8,7,18,74,1, 
2016,8,7,19,66,1, 
2016,8,7,20,80,1, 
2016,8,7,21,20,1, 
2016,8,7,22,22,1, 
2016,8,7,23,20,1, 
2016,8,7,24,5,1, 
2016,8,8,0,715,2, 
2016,8,8,1,6,2, 
2016,8,8,2,9,2, 
2016,8,8,3,2,2, 
2016,8,8,4,6,2, 
2016,8,8,5,3,2, 
2016,8,8,6,1,2, 
2016,8,8,7,12,2, 
2016,8,8,8,22,2, 
2016,8,8,9,31,2, 
2016,8,8,10,30,2, 
2016,8,8,11,24,2, 
2016,8,8,12,35,2, 
2016,8,8,13,55,2, 
2016,8,8,14,53,2, 
2016,8,8,15,61,2, 
2016,8,8,16,37,2, 
2016,8,8,17,55,2, 
2016,8,8,18,72,2, 
2016,8,8,19,51,2, 
2016,8,8,20,55,2, 
2016,8,8,21,31,2, 
2016,8,8,22,26,2, 
2016,8,8,23,22,2, 
2016,8,8,24,16,2, 
2016,8,9,0,754,3, 
2016,8,9,1,10,3, 
2016,8,9,2,2,3, 
2016,8,9,3,3,3, 
2016,8,9,4,3,3, 
2016,8,9,5,5,3, 
2016,8,9,6,5,3, 
2016,8,9,7,12,3, 
2016,8,9,8,32,3, 
2016,8,9,9,34,3, 
2016,8,9,10,31,3, 
2016,8,9,11,30,3, 
2016,8,9,12,54,3, 
2016,8,9,13,74,3, 
2016,8,9,14,55,3, 
2016,8,9,15,36,3, 
2016,8,9,16,40,3, 
2016,8,9,17,43,3, 
